,en_description,en_label,id,zh_description,zh_label
773,"village and former municipality in Saxony, Germany",Höckendorf,Q6775,,赫肯多夫
774,year,1615,Q6784,年,1615年
775,year,1596,Q6785,年份,1596年
776,type of quark,bottom quark,Q6786,,底夸克
777,German district,Neunkirchen,Q6799,,诺因基县
778,"district in Saarland, Germany",Merzig-Wadern,Q6802,,梅尔齐希-瓦登县
779,city in eastern Russia,Ulan-Ude,Q6816,俄罗斯城市,烏蘭烏德
780,"district in Freital, Germany",Zauckerode,Q6820,,
781,recurring volleyball competition,Men's European Volleyball Championship,Q6834,,欧洲排球锦标赛
782,year,1628,Q6840,年,1628年
783,species of the genus Orthohepadnavirus,Hepatitis B virus,Q6844,,乙型肝炎病毒
784,sport competition for national teams,European Beach Volleyball Championships,Q6848,,
785,year,1709,Q6857,年,1709年
786,year,1632,Q6865,年,1632年
787,collection of professional astronomers,International Astronomical Union,Q6867,1919年成立的国际学术组织,國際天文聯會
788,year,1712,Q6871,年,1712年
789,"town and a municipality in Saarland, Germany",Neunkirchen,Q6880,,诺因基兴
790,battle of the First Punic War with a Carthaginian victory,Battle of Bagradas,Q6891,,巴格布拉德斯战役
791,year,1805,Q6898,年,1805年
792,year,1640,Q6901,年,1640年
793,Identifier for a time offset from UTC of +6,UTC+06:00,Q6906,,UTC+06:00
794,year,1642,Q6912,年,1642年
795,year,1808,Q6914,年,1808年
796,Identifier for a time offset from UTC of +6:30,UTC+06:30,Q6923,,UTC+06:30
797,year,1646,Q6930,年,1646年
798,year,1813,Q6937,年,1813年
799,Chinese-American novelist,Tess Gerritsen,Q6950,,泰絲·格里森
800,year,1652,Q6962,年,1652年
801,year,1732,Q6966,年,1732年
802,Identifier for a time offset from UTC of +7:30 (no longer used),UTC+07:30,Q6971,,UTC+07:30
803,virus which caused human herpesvirus 6 Infection,Human herpesvirus 6,Q6974,,人类疱疹病毒6
804,year,1821,Q6976,年,1821年
805,"commune in Côte-d'Or, France",Franxault,Q6980,法国市镇,弗朗克索尔
806,year,1656,Q6982,年,1656年
807,"city in the district of Aachen, in North Rhine-Westphalia, Germany",Alsdorf,Q6992,,阿尔斯多尔夫
808,"town in Bavaria, Germany",Freising,Q6998,,弗赖辛
809,"town in the district Anhalt-Bitterfeld, Saxony-Anhalt, Germany",Bitterfeld-Wolfen,Q7007,,比特尔费尔德-沃尔芬
810,century,18th century,Q7015,,18世纪
811,century,15th century,Q7018,,15世纪
812,"city in Ticino, Switzerland",Lugano,Q7024,,卢加诺
813,"town in the Rhein-Erft district, in North Rhine-Westphalia, Germany",Brühl,Q7036,,布吕尔
814,card game,Botifarra,Q7043,,
815,"town in Hochtaunuskreis in Hesse, Germany",Oberursel,Q7044,,奥贝鲁尔塞尔
816,Identifier for a time offset from UTC of +9:30,UTC+09:30,Q7048,,UTC+9:30
817,school of thought,Hedonism,Q7064,,享樂主義
818,"town in the district Rhein-Kreis Neuss, North Rhine-Westphalia, Germany",Kaarst,Q7088,,卡尔斯特
819,"municipality in the canton of Lucerne, Switzerland",Eschenbach LU,Q7092,,埃申巴赫
820,"municipality in the canton of Lucerne, Switzerland",Hochdorf,Q7102,,霍赫多夫
821,"municipality in the canton of Lucerne, Switzerland",Altwis,Q7116,,阿爾特維斯
822,Identifier for a time offset from UTC of +14,UTC+14:00,Q7130,,UTC+14:00
823,scientific study of the relationships between living organisms,ecology,Q7150,关于生物体之间关系的研究,生态学
824,"science of genes, heredity, and variation in living organisms",genetics,Q7162,,遗传学
825,dynasty that ruled in China from 221 to 206 BC,Qin dynasty,Q7183,中国历史上首个大一统的中央集权朝代,秦朝
826,Polish-French physicist and chemist,Marie Curie,Q7186,物理学家，化学家,玛丽·居里
827,Province of Spain,Girona Province,Q7194,,赫羅納省
828,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist",Simone de Beauvoir,Q7197,,西蒙·波娃
829,emperor of the Qin Dynasty,Ziying,Q7203,秦朝最後一任君主,子婴
830,2008 American pornographic movie directed by Joone,Pirates II: Stagnetti's Revenge,Q7216,,加勒比女海盗2：斯塔涅蒂的报复
831,emperor of the Han Dynasty,Emperor Zhao of Han,Q7227,,汉昭帝
832,ancient Greek tragedian,Sophocles,Q7235,,索福克勒斯
833,emperor of the Han Dynasty,Emperor Ai of Han,Q7237,,汉哀帝
834,"any contiguous alive physical entity; entity or being that is living; an individual living thing, such as one animal, plant, fungus, or bacterium",organism,Q7239,,生物
835,German chemist,Agnes Pockels,Q7249,,
836,emperor of the Han Dynasty,Emperor Gengshi of Han,Q7262,,汉更始帝
837,form of government where head of state is elected,republic,Q7270,一种國体,共和制
838,emperor of the Han Dynasty,Emperor Zhang of Han,Q7277,,汉章帝
839,"American swimmer, Olympic athlete, Rhodes Scholar, biochemist",Annette Salmeen,Q7290,,安妮特·沙尔文
840,emperor of the Han Dynasty,Prince of Hongnong,Q7301,汉代皇帝,劉辯
841,Germany in the age of Nazi dictatorship from 1933 to 1945,Nazi Germany,Q7318,希特勒與納粹黨統治下的德國,纳粹德国
842,political party in Germany between 1920 and 1945,Nazi Party,Q7320,1920年至1945年在德國的政黨,国家社会主义德国工人党
843,"breed of domestic cat, derived from crossings between specific Bengal cat and Ocicat bloodlines",Cheetoh,Q7329,,
844,German-born businessman and father of Anne Frank.,Otto Frank,Q7336,,奥托·弗兰克
845,"cat breed (or breed group, depending on registry) originating from the Kuril Islands, claimed by both Russia and Japan, and Sakhalin Island and the Kamchatka peninsula of Russia",Kurilian Bobtail,Q7338,,千岛短尾猫
846,older sister of Anne Frank,Margot Frank,Q7339,,瑪戈·法蘭克
847,American jazz saxophonist,John Coltrane,Q7346,,約翰·柯川
848,river in Asia,Indus River,Q7348,,印度河
849,emperor of the Jin Dynasty (265–420),Emperor Hui of Jin,Q7357,,晉惠帝
850,contractile soft tissue of mammals,muscle,Q7365,,肌肉
851,domesticated animal,sheep,Q7368,,羊
852,regency of Jambi,Muaro Jambi,Q7381,,
853,regency of Jambi,Sarolangun,Q7383,,
854,emperor of the Jin Dynasty,Emperor Yuan of Jin,Q7392,,晉元帝
855,emperor of the Jin Dynasty (265–420),Emperor Cheng of Jin,Q7394,,晉成帝
856,emperor of the Jin Dynasty (265–420),Emperor Mu of Jin,Q7396,,晉穆帝
857,American chemist,Kathryn Uhrich,Q7421,,
858,emperor of the Western Xia Dynasty,Emperor Xianzong of Western Xia,Q7458,,李德旺
859,"neighborhood in downtown San Francisco, California",Tenderloin,Q7464,,里脊区
860,British chemist,Dorothy Hodgkin,Q7487,,多萝西·克劳福特·霍奇金
861,"town in the Rheinisch-Bergischer Kreis, in North Rhine-Westphalia, Germany",Wermelskirchen,Q7507,,韦尔梅尔斯基尔兴
862,Chinese chemist,Jing Li,Q7511,,
863,Singaporean businesswoman,Olivia Lum,Q7514,,林爱莲
864,second Great Khan of the Mongol Empire,Ögedei Khan,Q7519,,窝阔台
865,city in the southwestern region of the Crimean Peninsula,Sevastopol,Q7525,,塞瓦斯托波爾
866,"live music and dance venue located in Berkeley, California in the United States",Ashkenaz,Q7529,,
867,historic region in Eastern Europe straddling Poland and Ukraine,Volhynia,Q7530,,沃里尼亞
868,American information scientist,Elizabeth J. Feinler,Q7534,,
869,Swedish filmmaker,Ingmar Bergman,Q7546,瑞典电影、戏剧及歌剧导演,英格玛·伯格曼
870,American entrepreneur and animal rights activist,Sandra Lerner,Q7549,,桑德拉·勒納
871,city in Ukraine,Lutsk,Q7550,,盧茨克
872,female parent,mother,Q7560,女性親屬,母親
873,precipitation in the form of flakes of crystalline water ice,snow,Q7561,,雪
874,year,1741,Q7573,年,1741年
875,year,1831,Q7579,年,1831年
876,year,1743,Q7580,年,1743年
877,year,1832,Q7584,年,1832年
878,year,1666,Q7585,年份,1666年
879,year,1667,Q7588,年份,1667年
880,year,1746,Q7589,年,1746年
881,year,1748,Q7600,年,1748年
882,year,1749,Q7607,年,1749年
883,year,1671,Q7610,年份,1671年
884,year,1750,Q7611,年,1750年
885,year,1752,Q7618,年,1752年
886,year,1674,Q7620,年份,1674年
887,year,1753,Q7621,年,1753年
888,year,1679,Q7638,年份,1679年
889,year,1846,Q7640,年,1846年
890,"administrative division of Leningrad Oblast, Russia",Boksitogorsky District,Q7657,,博克西托戈爾斯克區
891,Norwegian female cross-country skier and fell runner,Heidi Weng,Q7658,,
892,year,1765,Q7665,年份,1765年
893,year,1770,Q7683,年份,1770年
894,year,1692,Q7685,年份,1692年
895,year,1773,Q7692,年份,1773年
896,ballgame-team sport played in water by teams competing to put the ball into the opponent's goal,water polo,Q7707,,水球
897,year,1699,Q7710,年份,1699年
898,Italian writer,Grazia Deledda,Q7728,,格拉齊亞·黛萊達
899,"regency of Riau Province, Indonesia",Rokan Hulu,Q7744,,
900,year,1788,Q7765,年份,1788年
901,year,1876,Q7766,年,1876年
902,city in eastern Russia,Birobidzhan,Q7769,,比罗比詹
903,year,1789,Q7772,年份,1789年
904,aspect of history,history of France,Q7778,,法國歷史
905,federal subject of Russia,Khabarovsk Krai,Q7788,,哈巴罗夫斯克边疆区
906,Italian Renaissance painter,Ambrogio Bergognone,Q7789,,貝爾戈尼奧內
907,international organization of petroleum-exporting countries,OPICE,Q7795,,石油输出国组织
908,primary judicial organ of the United Nations,International Court of Justice,Q7801,,国际法院
909,year,1880,Q7806,年,1880年
910,fictional character from The Simpsons franchise,Homer Simpson,Q7810,,霍默·辛普森
911,declaration adopted in 1948 by the United Nations General Assembly,Universal Declaration of Human Rights,Q7813,,世界人权宣言
912,year,1795,Q7815,年份,1795年
913,"historic town located in Crimea, Ukraine",Sudak,Q7830,,蘇達克
914,year,1895,Q7844,年,1895年
915,year,1897,Q7847,年,1897年
916,"form of motorsport where modified or specially built road-legal compete not on a circuit, but instead in a point-to-point format",rallying,Q7856,,拉力赛
917,"district in Thuringia, Germany",Nordhausen,Q7858,,北豪森县
918,place in which a person bathes under a spray of water,shower,Q7863,,花灑
919,"district in Thuringia, Germany",Wartburgkreis,Q7866,,瓦尔特堡县
920,"district in Thuringia, Germany",Gotha,Q7869,,哥达县
921,"district in Thuringia, Germany",Saalfeld-Rudolstadt,Q7882,,萨尔费尔德-鲁多尔施塔特县
922,"district in Thuringia, Germany",Greiz,Q7887,,格赖茨县
923,"district in Hesse, Germany",Fulda,Q7899,,富尔达县
924,"district in Hesse, Germany",Main-Kinzig-Kreis,Q7911,,美因-金齐希县
925,"district in Hesse, Germany",Kreis Bergstraße,Q7917,,贝格施特拉瑟县
926,South Slavic language,Bulgarian,Q7918,语言,保加利亚语
927,the study of education,pedagogy,Q7922,,教育学
928,"government region of North Rhine-Westphalia, Germany",Düsseldorf Government Region,Q7926,,杜塞尔多夫行政区
929,"District of Leningrad Oblast, Russia",Kirovsky District,Q7941,,基洛夫斯克區
930,what is in accord with fact or reality,truth,Q7949,符合事實或現實的東西,真理
931,"district in Leningrad Oblast, Russia",Luzhsky District,Q7959,,盧日斯基區
932,federal subject of Russia,Magadan Oblast,Q7971,俄罗斯联邦主体,马加丹州
933,pointing device,mouse,Q7987,指點裝置,鼠标
934,Grand Prince of Moscow and 1st Tsar of Russia,Ivan IV Vasilyevich,Q7996,,伊凡四世
935,Academic format of citation made by Modern Humanities Research Association (MHRA),MHRA Style Guide,Q8017,,
936,Formula 1 Grand Prix,Indian Grand Prix,Q8025,,印度大奖赛
937,mythical being or legendary creature,fairy,Q8028,神話中的存在或傳說中的生物,小仙子
938,"auto race held in Speedway, Indiana, United States",Indianapolis 500,Q8032,,印第安納波利斯500
939,"regency of Bengkulu Province, Indonesia",Mukomuko,Q8033,,
940,"regency of Bengkulu Province, Indonesia",Bengkulu Selatan,Q8040,,
941,French nobleman,Louis Antoine de Pardaillan de Gondrin,Q8056,,
942,national economy,economy of the Republic of Ireland,Q8062,,愛爾蘭經濟
943,Japanese multinational video game and consumer electronics company,Nintendo,Q8093,日本跨国游戏厂商,任天堂
944,flow of gases or air on a large scale,wind,Q8094,,風
945,"regency of South Sumatra Province, Indonesia",Empat Lawang,Q8112,,
946,sub-region of Finland,Järviseutu,Q8113,,
947,sub-region of Finland,Suupohja,Q8116,,
948,"regency of South Sumatra Province, Indonesia",Musi Rawas,Q8121,,
949,"city of South Sumatra Province, Indonesia",Palembang,Q8131,,巨港
950,"regency of Lampung Province, Indonesia",Pringsewu,Q8145,,
951,method to impose financial charge or other levy upon a taxpayer by a government or functional equivalent,tax,Q8161,政府向纳税人强制征收的货币或资源,稅
952,"regency of Bangka Belitung Islands Province, Indonesia",Bangka,Q8163,,
953,"administrative subdivision and region of Baden-Württemberg, Germany",Freiburg Government Region,Q8167,,弗赖堡行政区
954,"regency of Bangka Belitung Islands Province, Indonesia",Belitung Timur,Q8169,,
955,"government region of Baden-Württemberg, Germany",Tübingen Government Region,Q8170,,蒂宾根行政区
956,"city of Bangka Belitung Islands Province, Indonesia",Pangkalpinang,Q8179,,邦加檳港
957,"district of Baden-Württemberg, Germany",Enz,Q8184,,恩茨县
958,"district of Baden-Württemberg, Germany",Ortenau,Q8191,,奥特瑙县
959,town in northeastern Poland,Iława,Q8194,,伊瓦瓦
960,"quarter in the 2nd arrondissement of Lyon, France",Les Cordeliers,Q8207,,
961,alphabetic writing system,Cyrillic script,Q8209,,西里尔字母
962,"municipality in the Sächsische Schweiz-Osterzgebirge district, in Saxony, Germany",Rosenthal-Bielatal,Q8234,,罗森塔尔-比拉塔尔
963,"municipality in the Sächsische Schweiz-Osterzgebirge district, in Saxony, Germany",Struppen,Q8244,,施特鲁彭
964,Metropolitan city in Nepal,Biratnagar,Q8247,,比拉德訥格爾
965,Wikimedia category,Category:Literature,Q8259,维基媒体分类,Category:文学
966,classic work of Japanese literature,The Tale of Genji,Q8269,日本小说,源氏物語
967,disease that damages the myelin sheaths around nerve axons,multiple sclerosis,Q8277,,多发性硬化症
968,"management community in the Free State of Saxony, Germany",Verwaltungsgemeinschaft Tharandt,Q8283,,
969,Human disease,myasthenia gravis,Q8285,,重症肌無力
970,Wikimedia chapter in Germany,Wikimedia Deutschland,Q8288,,德国维基媒体协会
971,New Zealand film editor and film producer,Jamie Selkirk,Q8289,,杰米·塞尔柯克
972,1977 contract in Spain,Pact of Moncloa,Q8292,,
973,"village in Alajärvi, Finland",Kuolema,Q8303,,
974,"major tributary of the Mississippi River, United States",Arkansas River,Q8319,,阿肯色河
975,omnivorous mammal in the Canidae family,fox,Q8331,,狐
976,German town in northwest Baden-Württemberg,Hockenheim,Q8336,,霍肯海姆
977,former visual effects company,Matte World Digital,Q8340,,
978,"musical style, genre, and theory",jazz,Q8341,,爵士乐
979,Album by Sigur Rós,( ),Q8364,,
980,"commune in the metropolis of Lyon, France",Dardilly,Q8365,法国市镇,达尔迪利
981,German General of the Infantry,Hans Schmidt,Q8367,,
982,"theater in the 8th arrondissement of Lyon, France",Maison de la danse,Q8383,,
983,"park in Lyon, France",Grand parc de Miribel-Jonage,Q8387,,
984,award for best visual effects in film and television,Visual Effects Society Awards 2002,Q8390,,
985,King of France and Navarre,John I of France,Q8404,,约翰一世
986,Roman emperor,Constantine the Great,Q8413,第一位信仰基督宗教的羅馬皇帝,君士坦丁大帝
987,"street in Lyon, France",rue du Bœuf,Q8419,,牛街
988,social union or legal contract between people called spouses that creates kinship,marriage,Q8445,,婚姻
989,Spanish-language version of Wikipedia,Spanish Wikipedia,Q8449,維基百科的西班牙語版本,西班牙语维基百科
990,inalienable fundamental rights to which a person is inherently entitled,human rights,Q8458,人的基本权利,人权
991,road in Afghanistan,Highway 1,Q8477,,
992,"Tsar and 1st Emperor, founder of the Russian Empire",Peter the Great,Q8479,俄罗斯帝国皇帝,皮特大帝
993,Afghan river,Logar River,Q8480,,洛加尔省
994,chess tournament,1st Chess Olympiad,Q8483,,
995,river of Afghanistan,Ghorband River,Q8485,,哥班德河
996,"Games of the XXV Olympiad, held in Barcelona in 1992",1992 Summer Olympics,Q8488,,1992年夏季奥林匹克运动会
997,award for the best visual effects in film and television,Visual Effects Society Awards 2008,Q8497,,第7屆視覺效果學會獎
998,award for the best visual effects in film and television,Visual Effects Society Awards 2009,Q8499,,
